,station_name,station_name_eng,station_address,station_longitude,station_latitude,station_type,geometry
141,ภูเก็ต,Phuket,เขาโต๊ะแซะ ถ.เขารังใน ต.รัษฎา อ.เมือง จ.ภูเก็ต,98.3953,7.89871,M,POINT (98.39530000000001 7.89871)
142,ตะกั่วป่า,Takua Pa,หมู่  6 เขามามั่ง  ต.บางไทร อ.ตะกั่วป่า จ. พังงา 82110,98.350806,8.839694,A1,POINT (98.35080600000001 8.839694)
143,กระบี่,Krabi,"สวท.กระบี่ , ถนนท่าเรือ ต.ปากน้ำ อ.เมือง จ.กระบี่ 81000",98.90665600000001,8.063,A1,POINT (98.90665600000001 8.063000000000001)
144,พังงา,Phang-Nga,สวท.พังงา เลขที่ 2 ถนนเทศบาลบำรุง ต.ท้ายช้าง อ.เมือง จ.พังงา 82000 (เขาช้าง),98.50654,8.434645,A1,POINT (98.50654 8.434645)
145,ป่าตอง,Pa Tong,ต.ป่าตอง อ.กะทู้ จ.ภูเก็ต,98.29670300000001,7.882851,A3,POINT (98.29670300000001 7.882851)
146,ถลาง,Tha-Lang,สถานีส่งสัญญาณโทรทัศน์ ส.ส.ท.  ถลาง  ตำบลศรีสุนทร  อำเภอถลาง  จังหวัดภูเก็ต,98.32758000000001,7.99277,A2,POINT (98.32758000000001 7.99277)
147,ปลายพระยา,Plai Phraya,ชุมสายโทรศัพท์ปลายพระยา  อ.ปลายพระยา   จ.กระบี่,98.863561,8.529853,A2,POINT (98.863561 8.529852999999999)
148,ทุ่งมะพร้าว,Thung Maphrao,หมู่ 10 ต.ทุ่งมะพร้าว อ.ท้ายเหมือง จ.พังงา 82120,98.34982,8.541,A3,POINT (98.34981999999999 8.541)
149,เขาแหลมหินช้าง,Khao Laem Hin Chang,สถานีโทรคมนาคมเขาแหลมหินช้าง ต.ลำแก่น อ.ท้ายเมือง จ.พังงา 82210,98.23733,8.61996,A3,POINT (98.23733 8.619960000000001)
150,คุระบุรี,Khura Buri,เขา 503 อ.คุระบุรี  จ.พังงา,98.44569399999999,9.126439999999999,A3,POINT (98.44569399999999 9.126439999999999)
151,กะรน,Ka Ron,หาดกะตะน้อย ต.กะรน เมืองภูเก็ต,98.301011,7.823242,A3,POINT (98.301011 7.823242)
152,บ้านกมลา,Ka Ma la,ต.กมลา อ.กะทู้ ภูเก็ต,98.283506,7.949086,A3,POINT (98.283506 7.949086)
153,นครศรีธรรมราช,Nakhon Sri Thumarat,ถ.นครศรีธรรมราช-หัวไทร  ต.ท่าเรือ อ.เมือง จ.นครศรีธรรมราช,99.97721,8.36679,M,POINT (99.97721 8.36679)
154,ทุ่งสง,Thung Song,สถานีวิทยุโทรทัศน์ สสท. ทุ่งสง ต.เขาขาว อ.ทุ่งสง จ.นครศรีธรรมราช,99.489998,8.210180000000001,A1,POINT (99.489998 8.210180000000001)
